time,growth_rate,length
1206815392,11.3914,361.0657
1206818992,11.3914,361.5404
1206822592,11.3914,362.015
1206826192,11.3914,362.4897
1206829792,11.3914,362.9643
1206833392,11.3914,363.4389
1206836992,11.3914,363.9136
1206840592,11.3914,364.3882
1206844192,11.3914,364.8629
1206847792,11.3914,365.3375
1206851392,11.3914,365.8121
1206854992,11.3914,366.2868
1206858592,11.3914,366.7614
1206862192,11.3914,367.2361
1206865792,11.3914,367.7107
1206869392,11.3914,368.1853
1206872992,11.3914,368.66
1206876592,11.3914,369.1346
1206880192,11.3914,369.6093
1206883792,11.3914,370.0839
1206887392,11.3914,370.5585
1206890992,11.3914,371.0332
1206894592,11.3914,371.5078
1206898192,11.3914,371.9825
1206901792,11.3914,372.4571
1206905392,11.3914,372.9317
1206908992,11.3914,373.4064
1206912592,11.3914,373.881
1206916192,11.3914,374.3557
1206919792,11.3914,374.8303
1206923392,11.3914,375.3049
1206926992,11.3914,375.7796
1206930592,11.3914,376.2542
1206934192,11.3914,376.7289
1206937792,11.3914,377.2035
1206941392,11.3914,377.6781
1206944992,11.3914,378.1528
1206948592,11.3914,378.6274
1206952192,11.3914,379.1021
1206955792,11.3914,379.5767
1206959392,11.3914,380.0513
1206962992,11.3914,380.526
1206966592,11.3914,381.0006
1206970192,11.3914,381.4753
1206973792,11.3914,381.9499
1206977392,11.3914,382.4245
1206980992,11.3914,382.8992
1206984592,11.3914,383.3738
1206988192,11.3914,383.8484
1206991792,11.3914,384.3231
1206995392,11.3914,384.7977
1206998992,11.3914,385.2724
1207002592,11.3914,385.747
1207006192,11.3914,386.2216
1207009792,11.3914,386.6963
1207013392,11.3914,387.1709
1207016992,11.3914,387.6456
1207020592,11.3914,388.1202
1207024192,11.3914,388.5948
1207027792,11.3914,389.0695
1207031392,11.3914,389.5441
1207034992,11.3914,390.0188
1207038592,11.3914,390.4934
1207042192,11.3914,390.968
1207045792,11.3914,391.4427
1207049392,11.3914,391.9173
1207052992,11.3914,392.392
1207056592,11.3914,392.8666
1207060192,11.3914,393.3412
1207063792,11.3914,393.8159
1207067392,11.3914,394.2905
1207070992,11.3914,394.7652
1207074592,11.3914,395.2398
